LIPID NAME,Lipid n%,CHOL %,DSPE-PEG %,FRR,Org FR,Aq FR,TFR,CHIP,Size,PDI,Populations,Chain length 1,Unsatturation chain 1,Chain length 2,Unsatturation chain 2,Pressure at FRR1 TFR20,Pressure at FRR1 TFR 18,Pressure at FRR1 TFR 16,Chip Volume,Chip Surface Area,SMILES string
POPC,100,0,0,0.2,2.4,9.6,12,ZZ,47.11,0.23,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.5,6,6,12,IG,46.97,0.19,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.2,1.6,6.4,8,ZZ,45.75,0.17,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.2,2.4,9.6,12,ZZ,45.17,0.22,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.2,1.6,6.4,8,SR,44.79,0.17,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,95,0,5,0.2,2,8,10,ZZ,44.48,0.19,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,80,20,0,0.2,2,8,10,ZZ,43.88,0.13,1,16,0,18,1,0.1,0.05,0.05,97.11,457.5,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,75,20,5,0.2,2,8,10,SR,43.58,0.14,1,16,0,18,1,0.1,0.05,0.05,124,634.27,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,100,0,0,0.5,6,6,12,IG,43.31,0.16,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
POPC,100,0,0,0.5,4,4,8,IG,42.85,0.12,1,16,0,18,1,3.95,3.3,2.7,0.121,3.301,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
